a,b,c,d,e,used_symbol,ltp,pe,market_cap,status
ADF FOODS LTD.,ADFFOODS,ADFFOODS,Food - Processing - Indian,https://halalstock.in/is-adf-foods-ltd-halal-and-shariah-compliant/,ADFFOODS.NS,209.45,29.921429,23010928640,ok
ADINATH TEXTILES LTD.,ADINATH,,Textiles - Spinning - Synthetic / Blended,https://halalstock.in/is-adinath-textiles-ltd-halal-and-shariah-compliant/,ADINATH.BO,26.59,,181193600,ok
ADITYA BIRLA FASHION AND RETAIL LTD,ABFRL,ABFRL,Textiles - Products,https://halalstock.in/is-aditya-birla-fashion-and-retail-ltd-halal-and-shariah-compliant/,ABFRL.NS,78.15,,95046778880,ok
Aditya Birla Lifestyle Brands Ltd,ABLBL,ABLBL,Speciality Retail,https://halalstock.in/is-aditya-birla-lifestyle-brands-ltd-halal-and-shariah-compliant/,ABLBL.NS,130.17,,158311841792,ok
Aditya Birla Real Estate Ltd,ABREL,ABREL,Paper,https://halalstock.in/is-aditya-birla-real-estate-ltd-halal-and-shariah-compliant/,ABREL.NS,1773.6,,196061806592,ok
ADITYA CONSUMER MARKETING LTD,ACML,,Trading,https://halalstock.in/is-aditya-consumer-marketing-ltd-halal-and-shariah-compliant/,ACML.BO,40.04,,585940864,ok
Aditya Infotech Ltd,CPPLUS,CPPLUS,Industrial Products,https://halalstock.in/is-aditya-infotech-ltd-halal-and-shariah-compliant/,CPPLUS.NS,1534.0,90.93064,180314046464,ok
ADITYA VISION LTD,AVL,,Electronics - Consumer,https://halalstock.in/is-aditya-vision-ltd-halal-and-shariah-compliant/,AVL.NS,523.85,62.887154,67648962560,ok
ADJIA TECH,ADJIA,,Computers - Software - Medium / Small,https://halalstock.in/is-adjia-tech-halal-and-shariah-compliant/,ADJIA.BO,51.55,54.263157,45384620,ok
ADOR MULTIPRODUCTS LTD.,ADORMUL,,Personal Care - Indian,https://halalstock.in/is-ador-multiproducts-ltd-halal-and-shariah-compliant/,ADORMUL.BO,113.94,,1089379200,ok
ADVAIT INFRATECH LTD,ADVAIT,,Construction,https://halalstock.in/is-advait-infratech-ltd-halal-and-shariah-compliant/,ADVAIT.BO,1542.35,41.494488,16868621312,ok
Advance Agrolife Ltd.,ADVANCE,,Pesticides / Agrochemicals,https://halalstock.in/is-advance-agrolife-ltd-halal-and-shariah-compliant/,ADVANCE.NS,125.85,31.541353,8090357760,ok
ADVANCED ENZYME TECHNOLOGIES LTD,ADVENZYMES,ADVENZYMES,Chemicals,https://halalstock.in/is-advanced-enzyme-technologies-ltd-halal-and-shariah-compliant/,ADVENZYMES.NS,311.7,23.703424,34887585792,ok
AEGIS LOGISTICS LTD.,AEGISLOG,AEGISLOG,Trading,https://halalstock.in/is-aegis-logistics-ltd-halal-and-shariah-compliant/,AEGISLOG.NS,763.65,37.305817,268216172544,ok
Aegis Vopak Terminals Ltd,AEGISVOPAK,AEGISVOPAK,Oil Storage &amp; Transportation,https://halalstock.in/is-aegis-vopak-terminals-ltd-halal-and-shariah-compliant/,AEGISVOPAK.NS,260.55,208.43999,288687194112,ok
Aeroflex Industries Ltd,AEROFLEX,AEROFLEX,Iron &amp; Steel Products,https://halalstock.in/is-aeroflex-industries-ltd-halal-and-shariah-compliant/,AEROFLEX.NS,186.67,50.45135,24140232704,ok
Aether Industries Limited,AETHER,AETHER,Basic Materials,https://halalstock.in/is-aether-industries-limited-halal-and-shariah-compliant/,AETHER.NS,877.2,59.877136,116327964672,ok
Afcom Holdings Ltd,AFCOM,,Logistics Solution Provider,https://halalstock.in/is-afcom-holdings-ltd-halal-and-shariah-compliant/,AFCOM.BO,860.85,25.12697,21398755328,ok
Afcons Infrastructure Limited,AFCONS,AFCONS,Civil Construction,https://halalstock.in/is-afcons-infrastructure-limited-halal-and-shariah-compliant/,AFCONS.NS,404.1,29.582724,148621770752,ok
AFFLE (INDIA) LTD,AFFLE,AFFLE,Miscellaneous,https://halalstock.in/is-affle-india-ltd-halal-and-shariah-compliant/,AFFLE.NS,1660.9,55.548496,233394274304,ok
AFFORDABLE ROBOTIC &amp; AUTOMATION LTD,AFFORDABLE,AFFORDABLE,Engineering,https://halalstock.in/is-affordable-robotic-automation-ltd-halal-and-shariah-compliant/,AFFORDABLE.NS,224.55,166.33333,2525349120,ok
AGARWAL INDUSTRIAL CORPORATION LTD.,AGARIND,AGARIND,Petrochemicals,https://halalstock.in/is-agarwal-industrial-corporation-ltd-halal-and-shariah-compliant/,AGARIND.NS,769.8,13.830399,11514506240,ok
AGI INFRA LTD,AGIIL,AGIIL,Construction,https://halalstock.in/is-agi-infra-ltd-halal-and-shariah-compliant/,AGIIL.NS,271.3,43.131954,33195765760,ok
AHLUWALIA CONTRACTS (INDIA) LTD.,AHLUCONT,AHLUCONT,Construction,https://halalstock.in/is-ahluwalia-contracts-india-ltd-halal-and-shariah-compliant/,AHLUCONT.NS,995.25,25.382557,66669367296,ok
AIA ENGINEERING LTD.,AIAENG,AIAENG,Castings &amp; Forgings,https://halalstock.in/is-aia-engineering-ltd-halal-and-shariah-compliant/,AIAENG.NS,3862.6,31.948719,360459272192,ok
Aik Pipes &amp; Polymers Ltd,AIKPIPES,,Plastic Products - Industrial,https://halalstock.in/is-aik-pipes-polymers-ltd-halal-and-shariah-compliant/,AIKPIPES.BO,33.9,,215705712,ok
AIMCO PESTICIDES LTD.,AIMCOPEST,,Pesticides / Agrochemicals - Indian,https://halalstock.in/is-aimco-pesticides-ltd-halal-and-shariah-compliant/,AIMCOPEST.BO,60.48,,591646464,ok
Airfloa Rail Technology Ltd,AIRFLOA,,Industrial Products,https://halalstock.in/is-airfloa-rail-technology-ltd-halal-and-shariah-compliant/,AIRFLOA.BO,382.35,32.904476,9164911616,ok
AJANTA PHARMA LTD.,AJANTPHARM,AJANTPHARM,Pharmaceuticals - Indian - Formulations,https://halalstock.in/is-ajanta-pharma-ltd-halal-and-shariah-compliant/,AJANTPHARM.NS,2560.8,32.894028,320048168960,ok
AJANTA SOYA LTD.,AJANTSOY,,Miscellaneous,https://halalstock.in/is-ajanta-soya-ltd-halal-and-shariah-compliant/,AJANTSOY.BO,29.89,10.98897,2405636608,ok
Ajax Engineering Limited,AJAXENGG,AJAXENGG,Construction Vehicles,https://halalstock.in/is-ajax-engineering-limited-halal-and-shariah-compliant/,AJAXENGG.NS,620.8,28.334093,71023738880,ok
